lat,lng
10.2431,-66.8622
50.4167,4.4442
39.4842,-88.1781
42.5662,-84.8304
35.0657,-85.2488
56.1333,47.25
51.7361,0.4798
51.9,-2.0667
55.15,61.4
50.8333,12.9167
40.9739,117.9322
30.6636,104.0667
25.7989,113.0267
59.1333,37.9167
49.4444,32.0597
44.2222,42.0575
51.5,31.3
48.2908,25.9344
36.6778,-76.3024
18.5036,-88.3053
18.7889,98.9833
41.8373,-87.6862
-6.763,-79.8366
42.2663,118.9223
35.3339,139.4047
28.6353,-106.0889
17.55,-99.5
19.4167,-98.9
-9.0745,-78.5936
-19.1167,33.45
12.6242,-87.1297
-13.45,-76.1333
-12.5447,27.8708
31.7167,72.9833
47.0056,28.8575
52.0333,113.5
24.8894,74.6239
-18,31.1
30.6583,117.4849
13.3611,100.985
29.55,106.5069
-11.9431,-76.7094
-43.5309,172.6365
32.6281,-117.0145
32.3062,118.3115
22.1456,-80.4364
-6.0027,106.0112
-6.8833,107.5333
39.1413,-84.5061
-6.7167,108.5667
8.1167,-63.55
8.3596,-62.6517
21.9833,-99.0167
38.3221,-85.7673
27.9789,-82.7622
30.3374,-95.0931
19.6333,-99.0931
18.15,-94.4333
-17.3935,-66.157
40.2111,-8.4291
51.8917,0.903
19.2433,-103.7247
50.9422,6.9578
6.9167,79.8333
38.8674,-104.7606
35.6235,-87.0486
39.9862,-82.985
-45.8667,-67.5
9.5092,-13.7122
37.9722,-122.0016
-31.3922,-58.0169
-20.67,-43.79
36.365,6.6147
55.6786,12.5635
-29.9532,-71.338
26.2702,-80.2591
51.9,-8.4731
11.395,-69.6816
33.8616,-117.5649
27.726,-97.3755
-27.4833,-58.8167
33.6667,-117.9135
7.2167,124.25
-23.6039,-46.9189
6.4,2.52
51.7606,14.3342
52.4081,-1.5106
44.3333,23.8167
51.1092,-0.1872
-28.68,-49.39
19.65,-99.25
18.8167,-98.95
-23.8953,-46.4256
14.4667,78.8167
-2.8974,-79.0045
18.9186,-99.2342
-15.5958,-56.0969
24.8069,-107.3939
10.45,-64.1667
-25.4297,-49.2719
-13.5183,-71.9781
9.1833,105.15
18.8942,-96.9347
37.8833,-4.7667
10.1667,-66.8833
7.9075,-72.5047
26.7319,67.775
14.7319,-17.4572
25.7003,100.1564
38.9131,121.61
32.7936,-96.7662
33.5131,36.2919
11.75,11.9667
40.1167,124.3833
49.8667,8.65
14.3294,120.9367
55.8714,26.5161
7.0667,125.6
14.0367,98.1867
35.4912,-85.012
8.75,38.9833
47.53,21.6392
44.5323,125.6965
28.66,77.23
28.1931,-105.4717
18.55,-72.3
37.7731,29.0878
-8.6667,115.2167
33.2176,-97.1419
39.7621,-104.8759
-6.394,106.8225
30.05,70.6333
31.8167,70.9167
42.0692,48.2958
52.9167,-1.4667
